Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,202552,Acitretin,ACITRETIN,2024/1/23,Retinoid,,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,2016/01/04-,0115-1750; 0115-1751; 0115-1752; 0115-1753,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/85507f6c-f802-479e-bacc-624b5136d092/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=85507f6c-f802-479e-bacc-624b5136d092,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=85507f6c-f802-479e-bacc-624b5136d092,85507f6c-f802-479e-bacc-624b5136d092,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204633,ACITRETIN,ACITRETIN,2024/1/9,Retinoid,,AVKARE,2017/10/11-,42291-086; 42291-087; 42291-088,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6af396c2-af3e-436d-ba9a-583637495910/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6af396c2-af3e-436d-ba9a-583637495910,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6af396c2-af3e-436d-ba9a-583637495910,6af396c2-af3e-436d-ba9a-583637495910,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,202148,Acitretin,ACITRETIN,2023/12/20,Retinoid,,MYLAN PHARMACEUTICALS INC,2016/03/10-,0378-7020; 0378-7023,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2150bb0f-551b-4059-a97b-187d3ab22519/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2150bb0f-551b-4059-a97b-187d3ab22519,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2150bb0f-551b-4059-a97b-187d3ab22519,2150bb0f-551b-4059-a97b-187d3ab22519,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204633,ACITRETIN,ACITRETIN,2023/1/10,Retinoid,,SIGMAPHARM LABORATORIES LLC,2015/09/16-,42794-080; 42794-081; 42794-083,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a6546625-acb8-460e-b34e-f795bfb3680a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a6546625-acb8-460e-b34e-f795bfb3680a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a6546625-acb8-460e-b34e-f795bfb3680a,a6546625-acb8-460e-b34e-f795bfb3680a,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,091455;202897,Acitretin,ACITRETIN,2022/5/19,Retinoid,,TEVA PHARMACEUTICALS USA INC,2013/07/19-,0093-1135; 0093-1136; 0093-1138,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/993a5325-cd10-4450-b5ea-1c0a90510df6/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=993a5325-cd10-4450-b5ea-1c0a90510df6,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=993a5325-cd10-4450-b5ea-1c0a90510df6,993a5325-cd10-4450-b5ea-1c0a90510df6,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, COATED",ORAL,NDA,216340,KRAZATI,ADAGRASIB,2026/2/26,,2022,MIRATI THERAPEUTICS INC,2022/12/12-,80739-812,8EOO6HQF8Y,ADAGRASIB,ADAGRASIB,8EOO6HQF8Y,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0b8bf078-34c2-4f45-9012-38a8ac082b01/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0b8bf078-34c2-4f45-9012-38a8ac082b01,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0b8bf078-34c2-4f45-9012-38a8ac082b01,0b8bf078-34c2-4f45-9012-38a8ac082b01,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,201292,Gilotrif,AFATINIB,2025/11/13,Kinase Inhibitor,2013,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,2013/07/12-,0597-0137; 0597-0138; 0597-0141,41UD74L59M,AFATINIB,AFATINIB,41UD74L59M,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fd638e5e-8032-e7ca-0179-95e96ab5d387/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fd638e5e-8032-e7ca-0179-95e96ab5d387,fd638e5e-8032-e7ca-0179-95e96ab5d387,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,208434,ALECENSA,ALECTINIB HYDROCHLORIDE,2025/12/15,Kinase Inhibitor,2015,GENENTECH INC,2015/12/11-,50242-130,P9YY73LO6J,ALECTINIB HYDROCHLORIDE,ALECTINIB,LIJ4CT1Z3Y,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/42c49deb-713b-427a-9670-08af08adcffb/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=42c49deb-713b-427a-9670-08af08adcffb,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=42c49deb-713b-427a-9670-08af08adcffb,42c49deb-713b-427a-9670-08af08adcffb,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,SUBCUTANEOUS,BLA,761433;761484,Rybrevant Faspro,AMIVANTAMAB AND HYALURONIDASE-LPUJ (HUMAN RECOMBINANT),2026/2/18,Endoglycosidase,2025,JANSSEN BIOTECH INC,2025/12/19-; 2026/02/13-,57894-510; 57894-514; 57894-515; 57894-522,0JSR7Z0NB6; 743QUY4VD8,AMIVANTAMAB; HYALURONIDASE (HUMAN RECOMBINANT),AMIVANTAMAB; HYALURONIDASE (HUMAN RECOMBINANT),0JSR7Z0NB6; 743QUY4VD8,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9e58b045-e352-4f62-99bf-77fae1bebc69/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9e58b045-e352-4f62-99bf-77fae1bebc69,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9e58b045-e352-4f62-99bf-77fae1bebc69,9e58b045-e352-4f62-99bf-77fae1bebc69,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,BLA,761210,Rybrevant,AMIVANTAMAB-VMJW,2025/11/11,,2021,JANSSEN BIOTECH INC,2021/05/21-,57894-501,0JSR7Z0NB6,AMIVANTAMAB,AMIVANTAMAB,0JSR7Z0NB6,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1466c070-9f97-4fa4-a955-6a6b59981fb8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1466c070-9f97-4fa4-a955-6a6b59981fb8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1466c070-9f97-4fa4-a955-6a6b59981fb8,1466c070-9f97-4fa4-a955-6a6b59981fb8,,,,,,,,,,,,,,,,,,,
