Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,INTRAVENOUS; SUBCUTANEOUS,BLA,103234,EPOGEN,EPOETIN ALFA,2025/11/5,Erythropoiesis-stimulating Agent,1989,AMGEN INC,1989/06/30-; 1990/04/30-; 1993/08/16-; 1994/12/05-; 1997/03/03-,55513-126; 55513-144; 55513-148; 55513-267; 55513-283; 55513-478,64FS3BFH5W,EPOETIN,EPOETIN,64FS3BFH5W,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1f2d0b28-9cc5-4523-80b8-637fdaf3f7a5/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1f2d0b28-9cc5-4523-80b8-637fdaf3f7a5,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1f2d0b28-9cc5-4523-80b8-637fdaf3f7a5,1f2d0b28-9cc5-4523-80b8-637fdaf3f7a5,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,125545,RETACRIT,EPOETIN ALFA-EPBX,2025/6/22,Erythropoiesis-stimulating Agent,2018,PFIZER LABORATORIES DIV PFIZER INC,2018/06/18-; 2020/11/09-,0069-1305; 0069-1306; 0069-1307; 0069-1308; 0069-1309; 0069-1311; 0069-1318,64FS3BFH5W,EPOETIN,ERYTHROPOIETIN,64FS3BFH5W,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3af26b0d-8ad0-44e1-a538-8bdb5ab39374/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3af26b0d-8ad0-44e1-a538-8bdb5ab39374,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3af26b0d-8ad0-44e1-a538-8bdb5ab39374,3af26b0d-8ad0-44e1-a538-8bdb5ab39374,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,125545,RETACRIT,EPOETIN ALFA-EPBX,2025/6/22,Erythropoiesis-stimulating Agent,2018,VIFOR INTERNATIONAL INC,2018/06/18-; 2020/09/11-,59353-002; 59353-003; 59353-004; 59353-010; 59353-120; 59353-220,64FS3BFH5W,EPOETIN,EPOETIN,64FS3BFH5W,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e6e4dd0c-25ca-40b2-ba6b-6138a68621fe/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e6e4dd0c-25ca-40b2-ba6b-6138a68621fe,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e6e4dd0c-25ca-40b2-ba6b-6138a68621fe,e6e4dd0c-25ca-40b2-ba6b-6138a68621fe,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,209267,ERLOTINIB,ERLOTINIB,2024/6/26,Kinase Inhibitor,2004,CAMBER PHARMACEUTICALS INC,2024/05/24-,31722-263; 31722-264; 31722-265,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a3b2d622-b4d5-4819-862b-f8fd3adcec6f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a3b2d622-b4d5-4819-862b-f8fd3adcec6f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a3b2d622-b4d5-4819-862b-f8fd3adcec6f,a3b2d622-b4d5-4819-862b-f8fd3adcec6f,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,213065,Erlotinib,ERLOTINIB,2023/10/5,Kinase Inhibitor,2004,ZYDUS PHARMACEUTICALS USA INC,2020/04/30-,68382-913; 68382-914; 68382-915,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c35e019d-ec34-4e61-9400-a7ae7913e025/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c35e019d-ec34-4e61-9400-a7ae7913e025,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c35e019d-ec34-4e61-9400-a7ae7913e025,c35e019d-ec34-4e61-9400-a7ae7913e025,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,216342,Erlotinib,ERLOTINIB,2022/6/6,Kinase Inhibitor,2004,AUROBINDO PHARMA LIMITED,2022/06/22-,59651-530; 59651-531; 59651-532,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3ecafc1e-979a-4aff-a276-18fc0b110491/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3ecafc1e-979a-4aff-a276-18fc0b110491,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3ecafc1e-979a-4aff-a276-18fc0b110491,3ecafc1e-979a-4aff-a276-18fc0b110491,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,091059,Erlotinib,ERLOTINIB,2021/3/17,Kinase Inhibitor,2004,TEVA PHARMACEUTICALS USA INC,2019/05/09-; 2021/12/08-,0093-7662; 0093-7663; 0093-7664,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5d97f401-4853-4a9a-907d-21e8a4d16088/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5d97f401-4853-4a9a-907d-21e8a4d16088,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5d97f401-4853-4a9a-907d-21e8a4d16088,5d97f401-4853-4a9a-907d-21e8a4d16088,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,210300,Erlotinib,ERLOTINIB,2019/11/6,Kinase Inhibitor,2004,SUN PHARMACEUTICAL INDUSTRIES INC,2019/11/05-,63304-095; 63304-096; 63304-135,J4T82NDH7E,ERLOTINIB,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e36fa076-e23b-437f-bbd2-0433ce333175/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e36fa076-e23b-437f-bbd2-0433ce333175,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e36fa076-e23b-437f-bbd2-0433ce333175,e36fa076-e23b-437f-bbd2-0433ce333175,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,214719,ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,2024/6/10,Kinase Inhibitor,2004,ALEMBIC PHARMACEUTICALS LIMITED,2021/07/09-,46708-565; 46708-566; 46708-567,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ab6f3cb3-34a8-4492-a5d7-fb6b055a2d6b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ab6f3cb3-34a8-4492-a5d7-fb6b055a2d6b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ab6f3cb3-34a8-4492-a5d7-fb6b055a2d6b,ab6f3cb3-34a8-4492-a5d7-fb6b055a2d6b,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,214719,ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,2023/2/17,Kinase Inhibitor,2004,ALEMBIC PHARMACEUTICALS INC,2021/07/09-,62332-565; 62332-566; 62332-567,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ccf1e415-4980-462f-8ac2-87979bda149e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ccf1e415-4980-462f-8ac2-87979bda149e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ccf1e415-4980-462f-8ac2-87979bda149e,ccf1e415-4980-462f-8ac2-87979bda149e,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,214366,Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE,2019/12/3,Kinase Inhibitor,2004,NOVADOZ PHARMACEUTICALS LLC,2021/05/11-,72205-080; 72205-081; 72205-082,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4cff04f5-3693-4d87-a9f8-a2b195e3d26e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4cff04f5-3693-4d87-a9f8-a2b195e3d26e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4cff04f5-3693-4d87-a9f8-a2b195e3d26e,4cff04f5-3693-4d87-a9f8-a2b195e3d26e,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,211960,Erlotinib,ERLOTINIB HYDROCHLORIDE,2019/10/25,Kinase Inhibitor,2004,ARMAS PHARMACEUTICALS INC,2019/11/06-,72485-218,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2c4c7353-b81c-4651-8aac-6d15e88145af/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2c4c7353-b81c-4651-8aac-6d15e88145af,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2c4c7353-b81c-4651-8aac-6d15e88145af,2c4c7353-b81c-4651-8aac-6d15e88145af,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,211960,Erlotinib,ERLOTINIB HYDROCHLORIDE,2019/10/25,Kinase Inhibitor,2004,ARMAS PHARMACEUTICALS INC,2019/11/06-,72485-219,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/766baa46-1916-44e8-b599-33017a4194f1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=766baa46-1916-44e8-b599-33017a4194f1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=766baa46-1916-44e8-b599-33017a4194f1,766baa46-1916-44e8-b599-33017a4194f1,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,211960,Erlotinib,ERLOTINIB HYDROCHLORIDE,2019/10/25,Kinase Inhibitor,2004,ARMAS PHARMACEUTICALS INC,2019/11/06-,72485-217,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/53cf8868-cfd8-4c6e-ad9d-3171ff1e4d8c/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=53cf8868-cfd8-4c6e-ad9d-3171ff1e4d8c,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=53cf8868-cfd8-4c6e-ad9d-3171ff1e4d8c,53cf8868-cfd8-4c6e-ad9d-3171ff1e4d8c,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,021743,Tarceva,ERLOTINIB HYDROCHLORIDE,2012/1/5,Kinase Inhibitor,2004,PHYSICIANS TOTAL CARE INC,2005/07/01-; 2005/10/13-; 2005/11/21-,54868-5290; 54868-5447; 54868-5474,DA87705X9K,ERLOTINIB HYDROCHLORIDE,ERLOTINIB,J4T82NDH7E,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5783976b-0862-44e5-9b19-0f41d236d5c3/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5783976b-0862-44e5-9b19-0f41d236d5c3,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5783976b-0862-44e5-9b19-0f41d236d5c3,5783976b-0862-44e5-9b19-0f41d236d5c3,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,103234,PROCRIT,ERYTHROPOIETIN,2025/4/9,Erythropoiesis-stimulating Agent,1989,JANSSEN PRODUCTS LP,1989/06/01-,59676-302; 59676-303; 59676-304; 59676-310; 59676-312; 59676-320; 59676-340,64FS3BFH5W,EPOETIN,EPOETIN,64FS3BFH5W,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0c721ba4-ae19-417f-aae1-221ed1a0866a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0c721ba4-ae19-417f-aae1-221ed1a0866a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0c721ba4-ae19-417f-aae1-221ed1a0866a,0c721ba4-ae19-417f-aae1-221ed1a0866a,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,103234,PROCRIT,ERYTHROPOIETIN,2013/1/17,Erythropoiesis-stimulating Agent,1989,PHYSICIANS TOTAL CARE INC,1994/08/11-; 2007/08/13-; 2008/03/24-,54868-2523; 54868-5673; 54868-5802,64FS3BFH5W,Erythropoietin,Erythropoietin,64FS3BFH5W,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9bbe9a5b-ad1d-41a4-9699-ff6dc776bce1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9bbe9a5b-ad1d-41a4-9699-ff6dc776bce1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9bbe9a5b-ad1d-41a4-9699-ff6dc776bce1,9bbe9a5b-ad1d-41a4-9699-ff6dc776bce1,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,220200,Avopef,ETOPOSIDE,2026/2/16,Topoisomerase Inhibitor,1983,AVYXA PHARMA LLC,2026/02/13-,83831-144,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/acc1e443-ef7b-486f-a638-710a20e81059/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=acc1e443-ef7b-486f-a638-710a20e81059,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=acc1e443-ef7b-486f-a638-710a20e81059,acc1e443-ef7b-486f-a638-710a20e81059,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA,074529,Etoposide,ETOPOSIDE,2025/12/1,Topoisomerase Inhibitor,,BLUEPOINT LABORATORIES,2025/12/01-,68001-681; 68001-682; 68001-683,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0dddbe44-b4f4-431f-9011-8a54abbd4cbf/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0dddbe44-b4f4-431f-9011-8a54abbd4cbf,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0dddbe44-b4f4-431f-9011-8a54abbd4cbf,0dddbe44-b4f4-431f-9011-8a54abbd4cbf,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA,074529,Etoposide,ETOPOSIDE,2025/12/1,Topoisomerase Inhibitor,,MEITHEAL PHARMACEUTICALS INC,2025/02/01-,71288-175; 71288-176; 71288-177,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/50491106-dddd-4efd-bd83-060e7947a244/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=50491106-dddd-4efd-bd83-060e7947a244,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=50491106-dddd-4efd-bd83-060e7947a244,50491106-dddd-4efd-bd83-060e7947a244,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,ANDA,074513,Etoposide,ETOPOSIDE,2025/5/29,Topoisomerase Inhibitor,,ACCORD HEALTHCARE INC,2015/03/03-,16729-114,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4f850eb2-3542-43a0-90e8-bb37fa05cf15/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4f850eb2-3542-43a0-90e8-bb37fa05cf15,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4f850eb2-3542-43a0-90e8-bb37fa05cf15,4f850eb2-3542-43a0-90e8-bb37fa05cf15,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,ANDA,074290,Etoposide,ETOPOSIDE,2024/9/5,Topoisomerase Inhibitor,,HIKMA PHARMACEUTICALS USA INC,1996/05/01-,0143-9376,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e0cd61b9-2375-4e3d-a610-d87dad962468/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e0cd61b9-2375-4e3d-a610-d87dad962468,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e0cd61b9-2375-4e3d-a610-d87dad962468,e0cd61b9-2375-4e3d-a610-d87dad962468,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,ANDA,074290,Etoposide,ETOPOSIDE,2023/9/14,Topoisomerase Inhibitor,,HIKMA PHARMACEUTICALS USA INC,1996/05/01-; 1997/02/01-,0143-9510; 0143-9511; 0143-9512,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6dfedeff-a807-4405-a482-2f7109ad31c9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6dfedeff-a807-4405-a482-2f7109ad31c9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6dfedeff-a807-4405-a482-2f7109ad31c9,6dfedeff-a807-4405-a482-2f7109ad31c9,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA,074983,Etoposide,ETOPOSIDE,2022/6/2,Topoisomerase Inhibitor,,FRESENIUS KABI USA LLC,2001/07/18-,63323-104,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fe870629-104d-4d67-a7c6-f53bc588121e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fe870629-104d-4d67-a7c6-f53bc588121e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fe870629-104d-4d67-a7c6-f53bc588121e,fe870629-104d-4d67-a7c6-f53bc588121e,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,ANDA,074513,Etoposide,ETOPOSIDE,2018/6/20,Topoisomerase Inhibitor,,BLUEPOINT LABORATORIES,2013/11/14-,68001-265,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/157d4e0f-806d-4011-9dec-97e2449e507b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=157d4e0f-806d-4011-9dec-97e2449e507b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=157d4e0f-806d-4011-9dec-97e2449e507b,157d4e0f-806d-4011-9dec-97e2449e507b,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,075635,Etoposide,ETOPOSIDE,2016/4/19,Topoisomerase Inhibitor,,MYLAN PHARMACEUTICALS INC,2001/10/22-,0378-3266,6PLQ3CP4P3,ETOPOSIDE,ETOPOSIDE,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/508a418e-985f-4208-9324-2230655bb5c2/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=508a418e-985f-4208-9324-2230655bb5c2,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=508a418e-985f-4208-9324-2230655bb5c2,508a418e-985f-4208-9324-2230655bb5c2,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,020457,ETOPOPHOS,ETOPOSIDE PHOSPHATE,2025/11/25,Topoisomerase Inhibitor,1983,H PHARMA LLC,2009/06/01-,61269-410,528XYJ8L1N,etoposide phosphate,etoposide,6PLQ3CP4P3,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7499fc35-fae8-44ad-bbab-9a1a589bf3ee/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7499fc35-fae8-44ad-bbab-9a1a589bf3ee,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7499fc35-fae8-44ad-bbab-9a1a589bf3ee,7499fc35-fae8-44ad-bbab-9a1a589bf3ee,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA,761139,Enhertu,FAM-TRASTUZUMAB DERUXTECAN-NXKI,2025/12/23,,2019,DAIICHI SANKYO INC,2019/12/20-,65597-406,5384HK7574,TRASTUZUMAB DERUXTECAN,TRASTUZUMAB DERUXTECAN,5384HK7574,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7e67e73e-ddf4-4e4d-8b50-09d7514910b6/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7e67e73e-ddf4-4e4d-8b50-09d7514910b6,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7e67e73e-ddf4-4e4d-8b50-09d7514910b6,7e67e73e-ddf4-4e4d-8b50-09d7514910b6,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,103353,NEUPOGEN,FILGRASTIM,2026/3/8,Leukocyte Growth Factor,1991,AMGEN INC,1997/04/07-; 1997/05/19-; 2000/10/02-,55513-209; 55513-530; 55513-546; 55513-924,PVI5M0M1GW,FILGRASTIM,FILGRASTIM,PVI5M0M1GW,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/97cc73cc-b5b7-458a-a933-77b00523e193/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=97cc73cc-b5b7-458a-a933-77b00523e193,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=97cc73cc-b5b7-458a-a933-77b00523e193,97cc73cc-b5b7-458a-a933-77b00523e193,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,761082,RELEUKO,FILGRASTIM,2025/4/24,Leukocyte Growth Factor,2022,AMNEAL PHARMACEUTICALS LLC,2022/02/25-,70121-1568; 70121-1569; 70121-1570; 70121-1571,PVI5M0M1GW,FILGRASTIM,FILGRASTIM,PVI5M0M1GW,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/74e1ec6e-1630-4654-895c-2bd355f939e7/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=74e1ec6e-1630-4654-895c-2bd355f939e7,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=74e1ec6e-1630-4654-895c-2bd355f939e7,74e1ec6e-1630-4654-895c-2bd355f939e7,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,BLA,103353,Neupogen,FILGRASTIM,2009/12/2,Leukocyte Growth Factor,,PHYSICIANS TOTAL CARE INC,1994/06/08-; 2004/03/11-; 2006/08/14-,54868-2522; 54868-3050; 54868-5020,PVI5M0M1GW,FILGRASTIM,FILGRASTIM,PVI5M0M1GW,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3bc802bd-76b4-4f45-8571-a436ec26228e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3bc802bd-76b4-4f45-8571-a436ec26228e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3bc802bd-76b4-4f45-8571-a436ec26228e,3bc802bd-76b4-4f45-8571-a436ec26228e,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,761080,Nivestym,FILGRASTIM-AAFI,2025/8/12,Leukocyte Growth Factor,2018,PFIZER LABORATORIES DIV PFIZER INC,2018/09/24-; 2019/03/11-,0069-0291; 0069-0292; 0069-0293; 0069-0294,PVI5M0M1GW,FILGRASTIM,FILGRASTIM,PVI5M0M1GW,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d23ab39c-b6ec-41cf-a529-9dd2852c9d9a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d23ab39c-b6ec-41cf-a529-9dd2852c9d9a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d23ab39c-b6ec-41cf-a529-9dd2852c9d9a,d23ab39c-b6ec-41cf-a529-9dd2852c9d9a,,,,,,,,,,,,,,,,,,,
