PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,pubmed_url,second_link,pdf_url,download_status,download_error
40054601,Prevalence of Airflow Limitation and Emphysema in Lung Cancer Screening Populations: A Systematic Review and Meta-Analysis,"Choi H, Kwak IY, Oh CR, Goo JM, Yoon SH.",Chest. 2025 Jul;168(1):67-82. doi: 10.1016/j.chest.2025.02.021. Epub 2025 Mar 5.,Choi H,Chest,2025,2025-03-07 00:00:00,,,10.1016/j.chest.2025.02.021,https://pubmed.ncbi.nlm.nih.gov/40054601/,https://doi.org/10.1016/j.chest.2025.02.021,,failed,https://www.clinicalkey.com/content/playBy/pii/?v=S0012369225002703&returnurl=https://linkinghub.elsevier.com/retrieve/pii/S0012369225002703?showall=true&referrer= -> no_live_pdf
40009905,Estrogen receptor subtypes and survival outcomes in non-small cell lung cancer,"Thaker R, Lee UJ, Strange TJ, Sison CP, Kwok YFR, Niazi MRK, Gut T, Seetharamu N, Castellanos MR.",Pathol Res Pract. 2025 Apr;268:155843. doi: 10.1016/j.prp.2025.155843. Epub 2025 Feb 21.,Thaker R,Pathol Res Pract,2025,2025-02-26 00:00:00,,,10.1016/j.prp.2025.155843,https://pubmed.ncbi.nlm.nih.gov/40009905/,https://doi.org/10.1016/j.prp.2025.155843,,failed,https://www.sciencedirect.com/science/article/pii/S0344033825000354?via%3Dihub -> no_live_pdf
39984224,"The effect of occupational exposure to welding fumes on trachea, bronchus, and lung cancer: A supplementary analysis of regular occupational exposure and of occasional occupational exposure based on the systematic review and meta-analysis from the WHO/ILO Joint estimates of the work-related burden of disease and Injury","Momen NC, Baker MG, Driscoll T, Li J, Martínez-Silveira MS, Turner MC, Viegas S, Villeneuve PJ, Pega F.",Environ Int. 2025 Feb;196:109216. doi: 10.1016/j.envint.2024.109216. Epub 2024 Dec 19.,Momen NC,Environ Int,2025,2025-02-21 00:00:00,,,10.1016/j.envint.2024.109216,https://pubmed.ncbi.nlm.nih.gov/39984224/,https://doi.org/10.1016/j.envint.2024.109216,https://www.sciencedirect.com/science/article/pii/S0160412024008031/pdfft?md5=a77a973c0a4ba1c2a586000fd241e62e&pid=1-s2.0-S0160412024008031-main.pdf,failed,"Puppeteer: Execution context was destroyed, most likely because of a navigation. | Axios: HTTP 403"
39983807,Risk relationship between six autoimmune diseases and malignancies: An umbrella review,"Yang P, Liu Q, Zhang H, Wu M, Zhao J, Shen G, Zhao Y.",Autoimmun Rev. 2025 Apr 30;24(5):103779. doi: 10.1016/j.autrev.2025.103779. Epub 2025 Feb 19.,Yang P,Autoimmun Rev,2025,2025-02-21 00:00:00,,,10.1016/j.autrev.2025.103779,https://pubmed.ncbi.nlm.nih.gov/39983807/,https://doi.org/10.1016/j.autrev.2025.103779,,failed,https://www.sciencedirect.com/science/article/pii/S1568997225000394?via=ihub -> no_live_pdf
39951884,"Comparing the Effectiveness and Safety of First-line Interventions in Patients With Advanced Epidermal Growth Factor Receptor-mutant Non-small Cell Lung Cancer, With Particular Focus on Brain Metastatic Status: A Systematic Review and Network Meta-analysis","Mei T, Wang T, Xu T, Zhou Q.",Clin Oncol (R Coll Radiol). 2025 Apr;40:103776. doi: 10.1016/j.clon.2025.103776. Epub 2025 Jan 30.,Mei T,Clin Oncol (R Coll Radiol),2025,2025-02-14 00:00:00,,,10.1016/j.clon.2025.103776,https://pubmed.ncbi.nlm.nih.gov/39951884/,https://doi.org/10.1016/j.clon.2025.103776,,failed,row_timeout>120s
39923718,Evaluating the safety of antibody-drug conjugates in lung cancer: A systematic review and meta-analysis,"He Q, Jiang L, Xu Y, Wang M.",Lung Cancer. 2025 Mar;201:108425. doi: 10.1016/j.lungcan.2025.108425. Epub 2025 Feb 5.,He Q,Lung Cancer,2025,2025-02-09 00:00:00,,,10.1016/j.lungcan.2025.108425,https://pubmed.ncbi.nlm.nih.gov/39923718/,https://doi.org/10.1016/j.lungcan.2025.108425,,failed,https://www.sciencedirect.com/science/article/pii/S0169500225000467?via=ihub -> no_live_pdf
39893747,Efficacy and safety of immune checkpoint inhibition combined with concurrent chemoradiotherapy in patients with stage III unresectable non-small cell lung cancer: A systematic review and meta-analysis,"Acker F, Reck M, Martin D, Rieken S, Heinzen S, Rost M, Aguinarte L, Schulte H, Serve H, Oellerich T, Sebastian M, Althoff FC.",Eur J Cancer. 2025 Mar 11;218:115266. doi: 10.1016/j.ejca.2025.115266. Epub 2025 Jan 30.,Acker F,Eur J Cancer,2025,2025-02-02 00:00:00,,,10.1016/j.ejca.2025.115266,https://pubmed.ncbi.nlm.nih.gov/39893747/,https://linkinghub.elsevier.com/retrieve/pii/S0959-8049(25)00047-4,,failed,row_timeout>120s
39886909,Revisiting the association between sodium-glucose cotransporter-2 inhibitors and the risk of neoplasm in patients with type 2 diabetes: new insights from an updated systematic review and meta-analysis of randomized controlled trials,"Wang Y, Li Z, Lin C, Zhou J, Cai X, Lv F, Yang W, Ji L.",Expert Rev Clin Pharmacol. 2025 Mar;18(3):165-173. doi: 10.1080/17512433.2024.2439970. Epub 2025 Feb 4.,Wang Y,Expert Rev Clin Pharmacol,2025,2025-01-31 00:00:00,,,10.1080/17512433.2024.2439970,https://pubmed.ncbi.nlm.nih.gov/39886909/,https://www.tandfonline.com/doi/full/10.1080/17512433.2024.2439970,,failed,row_timeout>150s
39883489,The diagnostic performance and optimal strategy of cone beam CT-assisted bronchoscopy for peripheral pulmonary lesions: A systematic review and meta-analysis,"Yang H, Huang J, Zhang Y, Guo J, Xie S, Zheng Z, Ma Y, Deng Q, Zhong C, Li S.",Pulmonology. 2025 Dec 31;31(1):2420562. doi: 10.1080/25310429.2024.2420562. Epub 2024 Nov 4.,Yang H,Pulmonology,2025,2025-01-30 00:00:00,,,10.1080/25310429.2024.2420562,https://pubmed.ncbi.nlm.nih.gov/39883489/,https://www.tandfonline.com/doi/full/10.1080/25310429.2024.2420562,https://www.tandfonline.com/doi/epdf/10.1080/25310429.2024.2420562?needAccess=true,failed,row_timeout>150s
39874440,Immune checkpoint inhibitors plus taxane-based chemotherapy for patients with advanced/metastatic NSCLC: a systematic review and meta-analysis across different PD-L1 expression levels,"Abushanab AK, Mustafa MT, Mousa MT, Albanawi RF, Alkhalaileh RM, Alqudah GN, Abu Zaina RF, Abu Sitta ZA, Almasri IM, Abuquteish D.",Expert Rev Anticancer Ther. 2025 Feb;25(2):167-179. doi: 10.1080/14737140.2025.2460537. Epub 2025 Feb 3.,Abushanab AK,Expert Rev Anticancer Ther,2025,2025-01-28 00:00:00,,,10.1080/14737140.2025.2460537,https://pubmed.ncbi.nlm.nih.gov/39874440/,https://www.tandfonline.com/doi/full/10.1080/14737140.2025.2460537,,failed,row_timeout>150s
39864574,Association of VEGFR2 polymorphisms with clinical outcomes of anti-angiogenesis therapy in cancer patients: A systematic review and meta-analysis,"Feng W, Zhou L, He J, Wang Y, Cai J, Jiang T, Zhao Q, Ren T.",Eur J Pharmacol. 2025 Mar 5;990:177299. doi: 10.1016/j.ejphar.2025.177299. Epub 2025 Jan 24.,Feng W,Eur J Pharmacol,2025,2025-01-26 00:00:00,,,10.1016/j.ejphar.2025.177299,https://pubmed.ncbi.nlm.nih.gov/39864574/,https://doi.org/10.1016/j.ejphar.2025.177299,,failed,https://www.sciencedirect.com/science/article/pii/S0014299925000524?via%3Dihub -> no_live_pdf
39823657,[(18)F]FDG PET/CT versus Dynamic Contrast-Enhanced CT for the diagnosis of solitary pulmonary Nodule: A Head-to-Head comparative Meta-Analysis,"Long H, Hao B, Cao Y, Cai Y, Wei S, Liu X.",Eur J Radiol. 2025 Feb;183:111916. doi: 10.1016/j.ejrad.2025.111916. Epub 2025 Jan 3.,Long H,Eur J Radiol,2025,2025-01-17 00:00:00,,,10.1016/j.ejrad.2025.111916,https://pubmed.ncbi.nlm.nih.gov/39823657/,https://linkinghub.elsevier.com/retrieve/pii/S0720-048X(25)00002-6,,failed,https://www.sciencedirect.com/science/article/pii/S0720048X25000026?via=ihub -> no_live_pdf
39742912,"Preserved Ratio Impaired Spirometry Prevalence, Risk Factors, and Outcomes: A Systematic Review and Meta-Analysis","Robertson NM, Centner CS, Tejwani V, Hossen S, Karmali D, Liu S, Siddharthan T.",Chest. 2025 Jun;167(6):1591-1614. doi: 10.1016/j.chest.2024.12.025. Epub 2024 Dec 30.,Robertson NM,Chest,2025,2025-01-01 00:00:00,,,10.1016/j.chest.2024.12.025,https://pubmed.ncbi.nlm.nih.gov/39742912/,https://doi.org/10.1016/j.chest.2024.12.025,,failed,https://www.clinicalkey.com/content/playBy/pii/?v=S0012369224057349&returnurl=https://linkinghub.elsevier.com/retrieve/pii/S0012369224057349?showall=true&referrer= -> no_live_pdf
39730034,Grading the evidence for physical activity and any outcome in cancer survivors: An Umbrella review of 740 meta-analytic associations,"Filis P, Markozannes G, Chan DS, Mauri D, Foukakis T, Matikas A, Droufakou S, Pentheroudakis G, Tsilidis K.",Crit Rev Oncol Hematol. 2025 Mar;207:104602. doi: 10.1016/j.critrevonc.2024.104602. Epub 2024 Dec 25.,Filis P,Crit Rev Oncol Hematol,2025,2024-12-27 00:00:00,,,10.1016/j.critrevonc.2024.104602,https://pubmed.ncbi.nlm.nih.gov/39730034/,https://doi.org/10.1016/j.critrevonc.2024.104602,https://www.sciencedirect.com/science/article/pii/S1040842824003457/pdfft?md5=6da5baf4c8d2dbc660c9fac6b906e359&pid=1-s2.0-S1040842824003457-main.pdf,failed,"Puppeteer: Execution context was destroyed, most likely because of a navigation. | Axios: HTTP 403"
39727205,Radiofrequency ablation versus microwave ablation for lung cancer/lung metastases: a meta-analysis,"Liu X, Zhan Y, Wang H, Tang X, Cheng Y.",ANZ J Surg. 2025 Jan-Feb;95(1-2):56-65. doi: 10.1111/ans.19376. Epub 2024 Dec 27.,Liu X,ANZ J Surg,2025,2024-12-27 00:00:00,,,10.1111/ans.19376,https://pubmed.ncbi.nlm.nih.gov/39727205/,https://onlinelibrary.wiley.com/doi/full/10.1111/ans.19376,,failed,row_timeout>150s
39672496,"Exposure to per- and poly-fluoroalkyl substances and lung, head and neck, and thyroid cancer: A systematic review and meta-analysis","Sassano M, Seyyedsalehi MS, Kappil EM, Zhang S, Zheng T, Boffetta P.",Environ Res. 2025 Feb 1;266:120606. doi: 10.1016/j.envres.2024.120606. Epub 2024 Dec 11.,Sassano M,Environ Res,2025,2024-12-13 00:00:00,,,10.1016/j.envres.2024.120606,https://pubmed.ncbi.nlm.nih.gov/39672496/,https://linkinghub.elsevier.com/retrieve/pii/S0013-9351(24)02510-6,https://www.sciencedirect.com/science/article/pii/S0013935124025106/pdfft?md5=a362056a06640ce2ba9266ee70210f1e&pid=1-s2.0-S0013935124025106-main.pdf,failed,"Puppeteer: Execution context was destroyed, most likely because of a navigation. | Axios: HTTP 403"
39645003,The accuracy and adequacy of rapid on-site evaluation conducted by trained pulmonologist on transbronchial needle aspiration samples: A systemic review and meta-analysis,"Ehab A, Elgenidy A, Abobakr OA, Abubasheer TM, Odat RM, Ghonaim MM, Amin MA, Othman YA, Oweidah A, Khattab DH, Sakka Laik LB, Ali M, Shalabi A, Al-Mawla O, Abdelwahab HW, Abdelatti D.",Respir Med. 2025 Jan;236:107903. doi: 10.1016/j.rmed.2024.107903. Epub 2024 Dec 5.,Ehab A,Respir Med,2025,2024-12-07 00:00:00,,,10.1016/j.rmed.2024.107903,https://pubmed.ncbi.nlm.nih.gov/39645003/,https://linkinghub.elsevier.com/retrieve/pii/S0954-6111(24)00378-0,,failed,https://www.sciencedirect.com/science/article/pii/S0954611124003780?via=ihub -> no_live_pdf
